diagnosis_id	synonym	language
30738976	Viral enteritis NOS	en
30738976	Viral gastroenteritis NOS	en
30738976	Viral gastroenteropathy NOS	en
30738976	acute infectious viral gastroenteritis	en
30738976	infantile viral gastroenteritis	en
30738976	viral and other specified intestinal infections	en
30738976	viral diarrhea	en
30738976	viral diarrhoea	en
30738976	viral dysentery	en
30738976	viral gastroenteritis	en
1654881561	postoperative respiratory complications	en
1582386590	chest infection NOS	en
915779102	LRTI - [lower respiratory tract infection]	en
915779102	lower respiratory infection	en
915779102	pulmonary infection NOS	en
111658096	diffuse parenchymal lung diseases	en
111658096	interstitial lung disease NOS	en
770439884	Multiple congenital anomalies NOS	en
770439884	multiple birth defects NOS	en
770439884	multiple congenital birth defects NOS	en
770439884	multiple congenital birth deformities NOS	en
770439884	multiple fetal abnormalities NOS	en
770439884	severe birth deformities NOS	en
601591344	disorders with hearing loss	en
1769556904	disorder of ear	en
1769556904	ear disease	en
1769556904	problem of the ear	en
902999289	Disorder of middle ear and mastoid, unspecified	en
902999289	Disorder of middle ear or mastoid, unspecified	en
2145129894	postoperative complications of ear	en
2145129894	postprocedural complications of mastoid	en
2145129894	postprocedural disease or disorder of ear	en
2145129894	postprocedural disease or disorder of mastoid	en
1111681557	inner ear disease NOS	en
258484393	Structural malformations	en
939957586	Syndrome due to abnormality chromosomal NOS	en
939957586	chromosomal abnormalities, not elsewhere classified	en
642618805	allergic or hypersensitive condition NOS	en
1008515027	NOSSAD - [non-organ specific systemic autoimmune disorders]	en
1008515027	autoimmune deficiency NOS	en
1008515027	autoimmune deficiency syndrome NOS	en
1008515027	autoimmune disease NOS	en
1008515027	autoimmune disorder NOS	en
1008515027	collagen disease NOS	en
1008515027	collagen disorder NOS	en
1008515027	collagen vascular disease NOS	en
1008515027	systemic autoimmune disease	en
1008515027	systemic collagen vascular disease	en
1008515027	systemic vascular disease	en
411470068	gender dysphoria (deprecated)	en
411470068	transgender	en
73410310	Psychogenic dyspareunia	en
73410310	dyspareunia of nonorganic origin	en
73410310	psychologic dyspareunia	en
73410310	psychologic painful sexual act of female	en
903303141	obstetric haemorrhage NOS	en
877352786	Pregnancy with abortive outcome	en
877352786	abnormal products of conception	en
1421997617	Puerperal complication NOS	en
1421997617	disorder of puerperium	en
1421997617	postpartum disorder	en
1167594753	diseases of oral cavity, salivary glands and jaws	en
914520008	gastroduodenal disease	en
