ancestor_id	descendant_id	depth
1730644960	268878252	4
1730644960	98367105	4
1730644960	1951716831	4
1730644960	517146728	4
1730644960	118692704	4
1730644960	813709854	4
1730644960	1884908195	4
1730644960	1671973438	4
1730644960	1243509417	4
1730644960	1080311032	4
1730644960	829370043	4
1730644960	469631867	4
1730644960	779564433	4
1730644960	2050984064	4
1730644960	1850246922	4
1730644960	1049947849	4
1730644960	602076002	4
1730644960	965200428	4
1730644960	467894833	4
1730644960	1038066820	4
1730644960	123856996	4
1730644960	691133799	4
1730644960	220263794	4
1730644960	686663858	4
1730644960	1209385265	4
1730644960	858949350	4
1730644960	1352905819	4
1730644960	1655332958	4
