icd_11_id	name	icd_11_code
1891241424	Hormones and their synthetic substitutes or antagonists, not elsewhere classified	XM26S4
1870704429	Systemic antibiotics, anti-infectives or antiparasitics	XM5MU9
1193684303	Agents affecting bones, joints or other connective tissue, not elsewhere classified	XM9W63
1416993969	Analgesics, antipyretics or anti-inflammatory drugs	XM7BA9
808405469	Agents primarily acting on smooth and skeletal muscles or the respiratory system	XM1950
1732158747	Neuroprotective agents, not elsewhere classified	XM0QJ8
33615934	Drugs used in addictive disorders	XM7YD4
1076458680	Cannabinoids or hallucinogens	XM98Y0
1686171293	Diagnosis confirmed by laboratory examination	XY3B
1095611231	Diagnosis confirmed by imaging	XY9R
428256012	Drugs primarily affecting the autonomic nervous system	XM6CH2
2121804732	Antiepileptics or antiparkinsonism drugs	XM7452
1638970223	Perioperative	XY6K
1591498088	Male	XX2UQ8
503551892	Unspecified as to episode of care, or not applicable	XY9S
1581163131	Provisional diagnosis	XY7Z
1975766763	Differential diagnosis	XY75
2017927415	Other or unspecified drugs, medicaments and biological substances	XM16M6
511194385	Topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological or dental drugs	XM0YW5
1864983449	Psychostimulants	XM0RE9
448177412	Opioids	XM9NV2
1113109550	Amyl propionate	XM9RM0
774021157	Uncertain timing of onset relative to admission	XY85
1991751314	Alcohol	XM6U34
1195253264	Acrylamide	XM5LS4
1542540606	Carbon disulfide	XM7S46
1431418585	Present on admission	XY6M
1800563713	Developed after admission	XY69
543245955	Sedative hypnotic drugs or other central nervous system depressants	XM3L75
296427981	Corrosive substance	XM2K01
1862208036	Animal toxin, venom, or poison	XM0NF6
571578988	Inorganic substance	XM4JN8
698607095	Monosodium glutamate	XM34R5
746007578	Cyanide	XM3HX8
976232433	Explosive chemical	XM95V3
1921951542	Fiberglass	XM8SN2
172311508	Halogen derivative of aliphatic and aromatic hydrocarbons	XM5UJ8
1960627774	Antidepressants	XM4G94
664871802	Dichloroformoxine	XM4VA2
727830764	Ethylidene diacetate	XM14Q4
1448319348	Poisonous mushroom	XM74S8
718197645	Paratertiary butylphenol formaldehyde resin	XM7U05
1470497382	Triorthocresyl phosphate	XM5NA2
2098110584	Toluidine	XM7FG4
1756578469	Metal	XM3589
1934990124	Naphthylamine	XM6PE4
1042761116	Organic solvent	XM48F6
745681561	Phthalate	XM5B21
965319250	Mycotoxin	XM5490
1454474246	Silicone	XM9KE6
389939341	Agrochemical	XM1SE1
115547993	Methyl acrylate	XM5H13
1827287154	Algal toxin	XM9TZ4
1805108872	Gas, fumes or vapour	XM19R2
96118239	Paint or dye	XM4QP9
1977648359	Substance of human origin	XM6UT9
1408767977	Substance of plant origin	XM5R77
496690447	Vinyl bromide	XM6A87
640888715	Adhesive, not elsewhere classified	XM06T5
460173860	Food additives not elsewhere classified	XM7EJ0
236844788	Chemicals used as process regulators	XM8AA8
1743729319	Cleaning agent, not elsewhere classified	XM1MM9
1649716320	Triphenyl phosphate	XM90U0
431574163	Preservative nonmedicinal, not elsewhere classified	XM3DS3
1114883330	Organic compounds not elsewhere classified	XM36M0
2038455670	Antiseptic, not elsewhere classified	XM6ZV1
1582263723	Synthetic fragrances not elsewhere classified	XM40U3
682932429	House dust	XM76S9
178447424	Soot, not elsewhere classified	XM6MC4
1323532426	Substance eaten as food, nonbacterial, not elsewhere classified	XM2EE6
2108729162	Beta-naphthylamine	XM60L2
717123218	Aromatic amine	XM4VX8
1135266526	Soldering fluid, not elsewhere classified	XM6F66
681386363	Vinyl acetate	XM3FJ3
1562625296	Chemical compounds not elsewhere classified	XM56R6
167980365	Varnish, not elsewhere classified	XM15W5
2082570273	Course	
69890123	Pattern, Activity, or Clinical Status	
361933667	Onset	
379428326	Phase Scale Value	
1301318821	Clinical Staging Scale Value	
976844613	Duration of pregnancy less than 5 completed weeks	XT3X
204410755	Problem Scale Value	
785802584	Grading Scale Value	
1726150948	Mild Moderate Severe Scale Value	
1498811339	Duration of pregnancy more than 36 completed weeks	XT6G
714822826	Pregnancy	XT0S
1989267165	NYHA Functional Classification: Class I-IV	
331649528	Endometriosis Severity Scale Value	
468940004	Peripheral arterial disease (PAD) Severity Classification by Rutherford	
591767327	Histological Grading Scale Value	
184470439	Young Adult	XT15
1588782340	Infancy	XT2C
230631349	Postpartum	XT4Z
1043777387	Child under 5	XT4X
732329079	Pain Severity Scale Value	
955790	Puerperium	XT1G
1318332346	Duration of pregnancy 20-25 completed weeks	XT0T
963352150	Adult	XT6S
681697550	Basic 3-Value Severity Scale Value: Mild-Moderate-Severe	
1088785230	Child over 5	XT50
2061264259	Other severity scale value	
1733780743	Early Geriatric	XT19
1601354449	Duration of pregnancy 5-13 completed weeks	XT09
1375026183	Unspecified duration of pregnancy	XT6K
1451583031	Adult Nutritional Status Scale Value	
1569484362	Coronary atherosclerosis Severity Scale Value	
1263546640	Tumour spread simplified Scale Value	
1031451694	Duration of pregnancy 26-33 completed weeks	XT4J
930431064	Clinical Severity Scale Value: Stage 1-2-2a-2b-3-4	
914819428	Presence of psychosocial factors Scale Value	
424228508	Vocal Cord Paralysis Severity Scale Value	
209402542	Chronic Obstructive Lung Disease Criteria: GOLD 1-4	
1387195885	Clinical Severity Scale Value: Stage 1-2-3-4	
1479637436	Duration of pregnancy 34-36 completed weeks	XT84
2122233748	Tumour spread staging Scale Value	
1352518340	Neonatal	XT16
115334960	Sepsis Severity Scale Value	
1276541597	Late Geriatric	XT13
275453639	Adolescent	XT7M
582121924	Peripheral arterial disease (PAD) Severity Classification by Fontaine	
736094768	Duration of pregnancy 14-19 completed weeks	XT65
890125345	Antenatal - WHO Standard	XT77
393595317	Anaphylaxis Severity Scale Value	
914150644	Perinatal	XT3N
1810600222	Extremities	XA6AS2
223243926	Head and neck	XA1RS6
256187719	Haematopoietic system	
947150833	Trunk	XA3FR3
910012423	Immune system	
2108966855	Digestive system	
40907641	Musculoskeletal system	
1144883259	Walls in the Body	
1910628372	Body Organ	
1183930282	Abnormal flexion response to pressure stimulation	XC8W
583069829	Auditory system	
555078855	Integumentary system	
340179422	Nervous system	
2079332103	Circulatory system	
1666976362	Localising response to pressure stimulation	XC6J
128560749	Extension response to pressure stimulation	XC8H
538706260	Body Cavities	
1448857116	Obeys commands	XC4L
1474896355	Body Tissues	
2083461966	No motion even with pressure stimulation	XC34
2136153828	Motor score non testable	XC3S
1488767299	One or both eyes opening to pressure stimulation	XC3H
445166423	Verbal score non testable	XC03
2027024634	Exposure to other mechanism	
743500056	Exposure to immersion, submersion or falling into water	XE64Q
1811970668	Confused, disoriented speech	XC4Y
1170477290	Eyes opening non testable	XC2N
1840975159	No eye opening even with pressure stimulation	XC87
1939248096	Normal flexion response to pressure stimulation	XC8Q
262026529	Exposure to thermal mechanism	XE6JM
1401559410	One or both eyes opening to verbal stimulation	XC5L
1720573192	One or both eyes are opening spontaneously	XC3W
864114369	Exposure to or harmful effects of substances	XE3SH
109553629	Both pupils react	XC5K
1673130746	Incomprehensible sounds to pressure stimulation	XC7U
1294344097	Exposure to person, animal or plant	XE4U1
1276965062	Neither pupil reacts	XC5Y
2031826100	One pupil reacts	XC16
1493679646	Intelligible single words	XC4A
1803734370	Genitourinary system	
57597214	Respiratory system	
358111161	Visual system	
409827719	Endocrine system	
1455306380	No verbal output even with pressure stimulation	XC8U
1851145654	Exposure to injurious transport event	XE72E
922767790	Exposure to object, not elsewhere classified	XE214
1511324284	Exposure to fall	XE3Y8
864052137	Data not available	XC85
1231993907	Exposure to threat to breathing	XE8NX
394710859	Oriented, normal speech	XC2X
1484941503	Alcohol use, suspicion or evidence of alcohol use by the injured person	XE1G3
1081404635	Type of place	
1786773723	Part of place	
1993515327	Alcohol use, no information available	XE47R
1029396223	Alcohol use, suspicion or evidence of alcohol use by other persons involved in the injury event	XE15H
1336544383	Alcohol use, no suspicion or evidence of alcohol use by any person involved in the injury event	XE08X
712192575	Alcohol use, suspicion or evidence of alcohol use by both the injured person and other persons involved in the injury event	XE3JF
2032736477	Cause of death imputed from injury because not recorded on the medical certificate of cause of death	XE2K1
1284074713	Unknown status of cause of death	XE19B
